date,water_precipitation,water_height,water_flow,water_volume,water_volume_variation
1991-02-26,7.3,30.94,5.3,9766515.0,22350.0
1991-02-27,8.0,31.08,5.3,10082239.0,315724.0
1991-02-28,8.0,31.25,5.4,10474804.0,392565.0
1991-03-01,0.0,31.48,10.3,11020802.0,545998.0
1991-03-02,0.0,31.48,10.3,11020802.0,0.0
1991-03-03,3.6,31.38,10.2,10781195.0,-239607.0
1991-03-04,3.6,31.29,10.1,10568263.0,-212932.0
1991-03-05,7.8,31.23,10.1,10428075.0,-140188.0
1991-03-06,0.0,31.16,10.1,10265846.0,-162229.0
1991-03-07,10.6,31.2,9.8,10357981.0,92135.0
1991-03-08,3.8,31.22,10.1,10404710.0,46729.0
1991-03-09,0.5,31.28,10.1,10544899.0,140189.0
1991-03-10,0.0,31.28,10.1,10544899.0,0.0
1991-03-11,16.8,31.26,7.0,10498169.0,-46730.0
1991-03-12,6.8,31.37,8.9,10757499.0,259330.0
1991-03-13,0.0,31.47,10.8,10996775.0,239276.0
1991-03-14,3.5,31.46,10.7,10972748.0,-24027.0
1991-03-15,14.8,31.37,8.9,10757499.0,-215249.0
1991-03-16,14.0,31.39,8.9,10804891.0,47392.0
1991-03-17,2.6,31.52,9.1,11107320.0,302429.0
1991-03-18,0.0,31.58,9.1,11254745.0,147425.0
1991-03-19,0.0,31.56,10.4,11205472.0,-49273.0
1991-03-20,1.8,31.51,10.4,11082864.0,-122608.0
1991-03-21,17.8,31.45,10.4,10948721.0,-134143.0
1991-03-22,5.8,31.4,10.3,10828587.0,-120134.0
1991-03-23,5.3,31.47,11.0,10996775.0,168188.0
1991-03-24,0.0,31.45,11.0,10948721.0,-48054.0
1991-03-25,0.0,31.39,10.9,10804891.0,-143830.0
1991-03-26,0.0,31.31,8.2,10615324.0,-189567.0
1991-03-27,0.0,31.31,8.2,10615324.0,0.0
1991-03-28,0.0,31.32,7.0,10639020.0,23696.0
1991-03-29,0.0,31.31,6.9,10615324.0,-23696.0
1991-03-30,0.0,31.3,6.2,10591628.0,-23696.0
